metric,overall,ophthalmology,ophthalmology_aki,ophthalmology_no_aki
"Operations, n","60,103",476,79,397
"Patients, n","48,550",415,53,362
"AKI-positive operations, n (%)","2,047 (3.4%)",79 (16.6%),Reference,Reference
"Patients with >=1 AKI-positive cohort op, n (%)","1,414 (2.9%)",53 (12.8%),Reference,Reference
"Age, y, median (IQR)",60.0 (50.0-70.0),70.0 (60.0-75.0),70.0 (65.0-75.0),65.0 (60.0-75.0)
"ASA, median (IQR)",2.0 (1.0-2.0),2.0 (2.0-2.0),2.0 (2.0-3.0),2.0 (2.0-2.0)
"Preop creatinine, mg/dL, median (IQR)",0.80 (0.68-0.92),0.92 (0.74-1.33),1.16 (0.80-1.69),0.88 (0.71-1.33)
"Preop BUN, mg/dL, median (IQR)",15.00 (12.00-18.00),17.00 (12.00-24.00),21.00 (16.00-29.00),16.00 (12.00-23.25)
"Op length, min, median (IQR)",130.0 (80.0-215.0),30.0 (20.0-55.0),25.0 (17.5-42.5),30.0 (20.0-60.0)
Anesthesia distribution,MAC 725 (1.2%); General 52412 (87.2%),MAC 342 (71.8%); General 134 (28.2%),MAC 66 (83.5%); General 13 (16.5%),MAC 276 (69.5%); General 121 (30.5%)
"Eye ICD-10-PCS prefix (`08..`), n (%)",Not summarized,471 (98.9%),79 (100.0%),392 (98.7%)
"Non-eye outlier codes, n",Not summarized,5,0,5
AKI-positive OT ops on patients with >1 positive OT op,N/A,49 of 79 (62.0%),23 of 53 patients (43.4%),N/A
