department_code,raw_dictionary_label,current_report_label,n_ops_final_labeled,pct_ops_final_labeled,n_patients_final_labeled,pct_patients_final_labeled
AN,Anesthesiology,Anesthesiology,5,0.008319,2,0.004119
CTS,Cardio-Thoracic Surgery,Cardio-Thoracic Surgery,8235,13.701479,6748,13.899073
DM,Dermatology,Dermatology,1,0.001664,1,0.00206
EM,Emergency Medicine,Emergency Medicine,2,0.003328,1,0.00206
GS,General Surgery,General Surgery,16788,27.93205,14075,28.990731
IM,Internal Medicine,Internal Medicine,39,0.064889,26,0.053553
NS,Neurosurgery,Neurosurgery,9282,15.443489,7535,15.520082
OG,Obstetrics & Gynecology,Obstetrics & Gynecology,1580,2.628821,1373,2.828012
OL,Oto-laryngology,Oto-laryngology,1843,3.066403,1373,2.828012
OS,Orthopedic Surgery,Orthopedic Surgery,14790,24.607757,10904,22.45932
OT,Ophthalmology,Ophthalmology,476,0.791974,365,0.751802
PED,Pediatrics,Pediatrics,0,0.0,0,0.0
PS,Plastic Surgery,Plastic Surgery,1093,1.818545,877,1.806385
RAD,Radiology,Radiology,336,0.55904,300,0.61792
RO,Radiation Oncology,Radiation Oncology,3,0.004991,3,0.006179
UR,Urology,Urology,5630,9.367253,4967,10.23069
